754,11152,90
1094,3090,420
80,23,66
73160,4701,148
46,46,0
1993,8831,742
906,2876,416
576,3604,22
1379,4420,257
290,720,164
770789,572,204
736,2317,358
353142,663,135
1390,1406,1065
244,1238,46
2003,14175,461
236,1887,64
948,1634,817
634,5002,124
719,7749,18
524,3639,40
39957,2385,319
3545,31280,596
4788118,2419,213
246,2179,57
535,2189,273
827,4670,194
413,2342,100
77505,8564,52
239,870,234
1095,3896,442
487,381,21
1256,113,34
720,3409,152
853,3750,12
547,1893,63
841,5826,40
494,474,16
371,325,344
783,4097,338
296,2113,78
190,405,136
892,1330,78
712,5431,60
142,36,138
69778,2167,551
607,1833,213
5,1347,2291
887,1773,565
207,828,54
421,3774,49
601,3162,200
20,71,1
1553,3490,867
688,1159,9409
1124,4334,632
248,825,134
1297,7282,263
171,729,202
663,607,654
970,744,917
1915,17594,1416
624,5180,79
3711,27215,1028
3671,29105,581
4423,8356,3345
120371,15335,23667
1876,21001,262
653,3000,97
41070,24236,358
17955,6227,3775
41291,10500,2334
7532,2956,1199
593,710,599
6638,2338,376
506,2882,324
883,4252,364
1187,4563,708
277,251,279
1566,11046,417
2234,9130,1304
177,79,158
950,811,940
669,4128,181
1432,5114,978
203,578,55
5,1383,1543
723,1452,547
1800,9576,398
699,2129,3364
85,326,174
791,3367,675
636,4223,125
447,2017,188
2317,3847,228
601,56,427
3591,16812,1844
62121,28817,89
953,5426,355
2483,13173,652
1694,8864,611
1782,8508,338
7433,30149,3387
3367,17649,1084
36,93,283
360,1471,111
817,4601,304
684,5286,220
36,93,283
554,2185,150
491,1664,303
2224,8812,813
38,38,183
1248,4870,589
9999,18368,2043
612,4036,124
633,4291,192
1621,4196,421
3127,14295,1141
107365,53050,408
5444,7531,1238
41,218,4
431,1715,161
675,4775,71
643,925,476
3838,5260,3416
1058,9019,201
1058,9019,201
1197,11830,315
26021,37244,696
2036472,21966,25
846,2241,182
5565,17173,98
1091907,9170,198
2278,9654,991
2286,4167,164
2984,10115,1684
1759,12001,438
31,164,5
2093,3444,1452
135,510,59
25,40,16
5442382,22221,4652
5217,14585,731
1368,9019,226
1152,4128,379
179,1366,48
2288,8419,1012
3634,856,56
311,951,134
2461,2045,4294
171,1481,54
1791,1361,442
811,2958,768
436,1589,645
402,1457,456
31,82,2609
305,1253,680
107,415,171
445695,8655,1408
483,3726,62
17,69,1
1971,11183,596
81061,26010,76
448,2693,142
1730,3294,1302
253,1325,29
366,2343,118
16,54,6
2306,9353,101
2149,25,2149
22985,7980,20785
1989,15146,23
1684,12621,393
74,213,174
2585,14370,1038
390,1983,142
1432,1089,1307
1478,8345,588
2644,445,5
862,572,870
1638,5376,902
1647,7532,891
446,2899,80
154,120,265
6242,3945,427
313,1753,106
183,1099,63
55098,12193,100
1620,7157,706
64,233,23
427,2728,113
229,1478,36
2037,8050,997
576,1754,257
383,407,313
147,1259,54
1838,503,1310
37383,8850,413
1097,5051,88
4846,733,3373
1043,3741,456
1867,8328,218
52,234,875
7969,16515,279
73,36,72
548,168,539
213,2349,48
615,2059,243
46991,6770,1749
524,2784,193
3001,14467,1374
2160,11302,885
42834,17774,423
1409,3061,1166
424,92,13
2024,10688,848
894,4409,314
1752,9315,24
7,1241,2743
1038,892,1168
1247,6876,378
27,60,7
1060,4167,221
176210,3852,35
2585,10539,1094
262,336,145
978,3997,421
1353,4214,617
14852,17418,1375
737,5227,302
894,4346,225
45832,16525,37197
98,598,80
77,729,82
99,42,142
1053,4664,431
1353,8329,928
711,3401,602
1841,5872,943
4816,15528,2486
4148,24125,1637
70385,13769,4251
2007,7048,1142
1260,8240,430
2053,7510,323
3040,17423,1055
4988,722,50
488,1753,179
253,1534,102
92,607,0
643,4055,109
5099,6086,3938
277710,1300,56
517,2622,137
97,132,53
81550,33245,99
90,1656,251
421,2457,114
70,291,252
548,34,538
812,4893,2802
134965,3040,334
216189,58771,5673
1730,12235,402
4171,4839,482
679,1686,55
1459,328,1374
1526,3462,189
414,3823,24
1124,6384,217
460587,517,21
737,6212,160
10,31,9
880,7334,108
1075825,36130,219
97,132,53
2868,23468,382
1706,5871,807
996,9879,141
6198,14371,1718
1261,5846,623
1087,1576,781
54438,31458,654
3163,20941,2025
368,1445,188
2466,13369,779
733,2745,387
2900,6941,121
1716,12089,627
349,1724,52
1746,2336,1578
1429,7970,445
2802,14052,1398
4461,15678,437
614,3842,208
3860,17839,985
966,1317,741
136,590,25
67495,4232,299
969,10226,203
514,2620,146
1675,10868,291
678,3763,232
347,328,209
1428,8759,25
417,1924,165
1159,5269,387
1264,35,4
2795,18654,0
766,5039,1491098437
238,35,209
2006,6545,136
783,6768,89
262725,2930,27
690,5870,124
2520,7807,1709
872,78,15
1937,5601,188
762,11761,5
608,321,528
19891,30158,85
2228,8731,122
17398,17147,360
3103,37873,512
119,33,111
1097,1665,13
52429,19144,188
2531,14218,70
311,693,79277
2549,13172,427
1123,8556,281
2364,13517,834
1114,7537,335
2041,7401,959
466,3706,79209
314,967,152
240,1811,51
1074,5721,537
270,1284,130
220,1178,39
706,5532,79287
2061,5989,167
228,1654,79124
2930,3773,5
363,243,294
1739,16546,915
1796,8514,79981
741,4993,177
704,705,79610
254,1846,79047
651,4262,217
45,630,78698
1059,7882,307
7074,6401,29
656,4674,79352
23,25,79088
5733,26,112
23,52,18
1713,7530,849
636,6016,79133
367,2138,55
